"name","cbs_fpts","espn_fpts","ffs_fpts","fp_fpts","numfire_fpts","hodges.lehmann","mean","risk","Ceiling","Floor","Tier","rank"
"Le'Veon Bell",17.7,18.1,23.82,19.7,19.67,19.7,19.8,2.2,22,17.6,7,1
"Devonta Freeman",20.7,22.3,17,20.2,18.3,19.6,19.7,1.9,21.6,17.8,7,2
"Matt Forte",17.41,20.3,15.45,18.8,18.42,18.1,18.1,1.6,19.7,16.5,7,3
"Adrian Peterson",17.24,16.8,17.25,17.8,17.78,17.3,17.4,0.4,17.8,17,7,4
"Arian Foster",17.62,17.6,9.48,17.9,18.44,17.6,16.4,3.4,19.8,13,6,5
"DeMarco Murray",15.57,15.4,19.64,14.8,15.6,15.6,16.1,1.8,17.9,14.3,6,6
"Dion Lewis",15.96,14.2,19.02,15.2,14.67,15.3,15.7,1.7,17.4,14,6,7
"Mark Ingram",14.22,16.1,20.05,14.8,13.48,15.2,15.6,2.3,17.9,13.3,6,8
"Eddie Lacy",16.25,15.7,12.33,16.1,15.99,15.9,15.4,1.5,16.9,13.9,6,9
"Giovani Bernard",14.07,13.2,16.79,13.2,12.58,13.6,13.9,1.5,15.4,12.4,6,10
"Justin Forsett",10.48,14,9.18,14.9,15.04,12.7,12.7,2.4,15.1,10.3,5,11
"Marshawn Lynch",16.11,15.6,9.62,12.8,7.87,12.6,12.4,3.2,15.6,9.2,5,12
"T.J. Yeldon",14.31,11.9,6.93,12.8,12.33,12.3,11.8,2.5,14.3,9.3,5,13
"Carlos Hyde",11.58,12.6,5.92,12.9,14.26,12.2,11.6,2.9,14.5,8.7,5,14
"Danny Woodhead",10.04,11.6,9.36,12.1,14.25,11.6,11.5,1.7,13.2,9.8,5,15
"Frank Gore",11.07,12,8.49,12.2,12.57,11.6,11.3,1.5,12.8,9.8,5,16
"Lamar Miller",10.21,11.9,8.05,11.7,12.97,11.1,11,1.7,12.7,9.3,5,17
"Charcandrick West",10.2,10.7,10,11.4,12.13,10.8,10.9,0.8,11.7,10.1,5,18
"Ameer Abdullah",12.38,9,8.61,11.3,12.77,10.7,10.8,1.7,12.5,9.1,5,19
"Chris Johnson",13.09,8.4,8.28,11.6,12.57,10.7,10.8,2.1,12.9,8.7,5,20
"Melvin Gordon",11.04,8.7,10.92,10.3,11.81,10.7,10.6,1,11.6,9.6,5,21
"C.J. Anderson",9.95,11.3,10.97,10.4,9.08,10.4,10.3,0.8,11.1,9.5,5,22
"Jeremy Hill",9.96,7.2,12.32,9.2,12.29,10,10.2,1.9,12.1,8.3,4,23
"LeGarrette Blount",12.39,9.5,5.94,10.9,11.83,10.7,10.2,2.3,12.5,7.9,4,24
"Rashad Jennings",10.86,7.3,5.39,10.2,12.39,9.1,9.2,2.5,11.7,6.7,3,25
"Darren Sproles",9.88,7.4,6.34,10.1,10.9,8.8,8.9,1.7,10.6,7.2,3,26
"Isaiah Crowell",9.92,5.9,5.91,9.3,11.61,8.8,8.6,2.3,10.9,6.3,3,27
"C.J. Spiller",10.06,9.4,7.81,9.1,6.1,8.6,8.5,1.4,9.9,7.1,3,28
"Jonathan Stewart",8.61,8.4,7.3,8.8,9.12,8.6,8.5,0.6,9.1,7.9,4,29
"Ronnie Hillman",8.36,10,6.14,9,8.89,8.7,8.5,1.3,9.8,7.2,3,30
"Shane Vereen",9.82,8.3,8.04,8.6,7.66,8.3,8.5,0.7,9.2,7.8,4,31
"Andre Ellington",10.67,7.1,6.68,8.9,8.12,8.1,8.3,1.4,9.7,6.9,3,32
"Bilal Powell",10.89,8.6,5.91,8.6,6.63,8.4,8.2,1.7,9.9,6.5,3,33
"Theo Riddick",11.57,8.8,4.55,9.2,4.97,8.1,7.9,2.7,10.6,5.2,2,34
"Ryan Mathews",11.71,4,6.48,7.8,8.35,7.8,7.7,2.5,10.2,5.2,2,35
"Alfred Morris",7.4,5.9,6.74,7.5,10.11,7.4,7.5,1.4,8.9,6.1,3,36
"Bishop Sankey",8.99,5.6,3.76,8.5,10.58,7.3,7.5,2.5,10,5,2,37
"Knile Davis",7.5,6.3,7,7,5.68,6.7,6.7,0.6,7.3,6.1,3,38
"Matt Jones",6.313,6.3,3.8,7.5,9.37,6.6,6.6,1.8,8.4,4.8,2,39
"Antonio Andrews",7.44,7.4,3.67,7.3,6.14,6.8,6.5,1.5,8,5,2,40
